TF	target	importance
SP3	MCL1	2.529437971070633
GATA6	SLAMF7	2.5291431608451496
FOXA3	AC117944.1	2.5281753633712913
TCF7L2	FLG-AS1	2.527933525100944
PBX1	AGBL4	2.5246886326910247
GATA4	SPSB1	2.5244994430349905
TCF7L2	CLCA4-AS1	2.515211584114724
HNF1B	MYC	2.5118541579982705
NFE2L2	AC117944.1	2.5047693178239103
SMAD3	SLAMF7	2.5046929797680133
ATF5	FMO3	2.4995386951132694
SOX4	NR1H4	2.4968166966616363
TCF7L2	PYHIN1	2.4943742966678957
CTNNB1	LINC01708	2.492905076020315
PBX1	PRKAA2	2.4813516196338408
NFE2L2	GADD45A	2.4780693777199176
KLF6	AL450992.1	2.4770281500622597
FOXA1	ZRANB2-AS2	2.475368737362056
SP3	CLIC4	2.4752422552615476
NR1H4	AL034417.4	2.4734107530892935
PPARG	ST6GALNAC3	2.4733348995171007
HNF4A	MFSD2A	2.470365531036677
KLF6	APCS	2.464101577675923
SOX4	PPARA	2.462980188546785
MLXIPL	PRAMEF33	2.451661049043995
SOX4	MAB21L3	2.44439068810702
TBX15	AC104459.1	2.443272826491939
PPARG	MROH9	2.437328966904466
HNF1A	AC104459.1	2.4357059391084084
TBX15	AL450992.1	2.426710071629658
HNF4A	MYOCOS	2.407946343709329
TCF7L2	FHAD1	2.405593548263249
HNF1B	AL033530.1	2.401298583978141
ATF5	TCF7L2	2.399915843930803
FOXJ3	IGSF21	2.3998389115190033
RXRA	YAP1	2.399390152939571
E2F3	GATA6	2.3959309749048465
KLF6	WLS	2.3932086573739846
TCF7L2	ATF2	2.3926520788788976
TCF7L2	E2F3	2.38354649751544
PPARG	CREB1	2.3732329839330237
HNF1B	SLC44A5	2.3702698693571502
CTNNB1	MUC1	2.3690106125399506
SP3	AK5	2.3603074352969617
HNF4A	KANK4	2.3600581867025605
KLF6	ADGRL2	2.356341596618183
KLF6	LINC01226	2.353657017042539
PPARA	DNAJC6	2.346407529198904
TCF7L2	NFIA-AS2	2.3432000821422623
RXRA	MLXIPL	2.3420136340987314
E2F3	NEGR1	2.3420134682322318
CREB1	SMAD3	2.3307159569211504
E2F3	LINC01708	2.3306775600242564
HNF1A	DNAJB4	2.327780946753542
SP3	NFIA-AS2	2.3219072565919103
CEBPB	AC096536.3	2.3193235616657684
SP3	AL450992.1	2.3108928107710187
MLXIPL	ADGRL2	2.3098831068678702
NR1H4	AC099788.1	2.3071341667315988
HNF1B	LEPR	2.3065577451351493
TBX15	NFIA-AS2	2.303210554110471
MYC	KIAA0040	2.301685659805324
KLF6	AL139294.1	2.301585979001897
SP3	SPTA1	2.2947882666999644
HNF1A	MAFG	2.293332377635945
MLXIPL	NR1H4	2.2877563552535554
SMAD3	TEAD4	2.282962558962572
NFE2L2	PPARG	2.2811952469710484
PPARG	ARHGAP29-AS1	2.2790055646865954
NFE2L2	JUN	2.275381340285878
FOXJ3	NEGR1	2.2628888866331365
GATA6	AC117944.1	2.2547230323562912
RXRA	MAN1C1	2.2531738528792595
PPARA	MROH9	2.249537021336898
SMAD2	LINC01362	2.248518332795707
MLXIPL	IGSF21	2.247657523945721
NFE2L2	ADGRL2	2.2454902077620087
TCF7L2	ZYG11A	2.243207223554105
CEBPB	RUNX3	2.2431181142965224
HNF4A	STAT3	2.242779555066778
TEAD4	TGFBR3	2.2372302544981864
NR1H4	CTH	2.234006043678929
TBX15	PAPPA2	2.2324194952485303
SMAD2	UAP1	2.2323336053247087
MAFK	IL12RB2	2.2299715587097806
KLF6	IFI44L	2.2281597063906946
NFE2L2	PDE4B	2.219328497391877
FOXA1	KAZN	2.2156485405775617
GATA4	ZSWIM5	2.214258035385893
JUN	PDE4B	2.213483967632916
FOXJ3	SMAD2	2.209045484404881
GATA4	KIAA0040	2.206148446338997
FOXJ3	PTGFR	2.201027558690961
CTNNB1	CEBPB	2.1893678261565785
PPARA	HMGCS2	2.187559852004386
KLF6	LINC02607	2.184765796434878
ATF5	JUN	2.177276825298517
TCF7L2	AL450992.1	2.1716681388746717
TBX15	GBP2	2.1705831353258582
GATA4	AC099788.1	2.169960034753061
SOX9	AL034417.2	2.1689385822108815
NFE2L2	LINC01344	2.1649813146646784
CREB1	MUC1	2.1635254507476924
FOXA3	NEGR1	2.156559339383071
NR1H4	TCF7L2	2.1485102445679614
SMAD3	SOX4	2.146789851914286
FOXJ3	AL078459.1	2.1466059129488184
TCF7L2	PPARG	2.146441548710946
JUN	GBP5	2.1446886159618703
STAT3	SOX4	2.143203599983711
ATF3	NFE2L2	2.1424158617893974
RXRA	FMO3	2.138791670608692
JUN	SORT1	2.1273462940985732
PRDM16	LINC01362	2.123323437918271
SMAD2	FOXA2	2.1225126010079594
MLXIPL	MROH9	2.1212713977658395
JUN	IGSF21	2.120205547682793
CREB1	LINC01226	2.1196360329737396
PPARA	NFE2L2	2.108591197765884
JUN	YAP1	2.1060992007642767
GADD45A	CEBPA	2.1056541525476926
TP53	MUC1	2.0987816646651702
MYC	TTLL7	2.098378164777218
PPARA	PER3	2.093528578889262
FOXJ3	LINC01767	2.0880920294119196
TBX15	LINC02607	2.087664957750775
MAFG	TMEM51	2.0866410792828978
TCF7L2	KANK4	2.0861165418132
FOXJ3	LINC01226	2.085034274162358
HNF4A	GBP5	2.079431457794655
MAFG	CLCA4-AS1	2.078144671168541
CREB1	ST6GALNAC3	2.076668840635582
HNF1B	MFSD2A	2.0746482866769798
TEAD1	ROR1	2.073892686892865
TEAD1	CD247	2.0722088494208304
SP3	APOA2	2.071142724712837
NR1H4	DNAJC6	2.0659308677099686
FOXA1	MYOCOS	2.0659227227184354
STAT3	FLG-AS1	2.060412288145257
CTNNB1	SORT1	2.0591228239121016
NFE2L2	CLCA4-AS1	2.0584829007401746
GATA6	TEAD4	2.056932522764432
SP3	AL034417.2	2.053649117575
MLXIPL	ANGPTL3	2.052895270245403
GADD45A	KLF6	2.0526259408392296
JUN	KLF6	2.0516870988277187
HNF1B	AL139294.1	2.046850680103178
PPARA	FMO5	2.0442312508912535
MAFK	RXRB	2.0415122283825404
FOXA3	DNM3	2.0394420684763417
PPARG	PLPP3	2.038254421734756
KLF6	ANGPTL3	2.032175423198312
SP1	VTCN1	2.0271261314063027
MLXIPL	GATA4	2.0269959398308215
CTNNB1	ST6GALNAC3	2.025399072990868
PPARA	EPHB2	2.0247827600533266
PPARA	AC104170.1	2.020914414997802
TCF7L2	DNAJC6	2.014491260232268
NFE2L2	PRAMEF10	2.013767979844782
NR1H4	GATA6	2.0093912411029624
HNF1A	ADGRL2	2.0080321780839148
KLF6	PTGFR	2.0064943159592405
TEAD1	HNF1A	2.004745748048539
NR1H4	PPARA	2.004198393211725
CEBPB	APOA2	2.0028594938086846
HNF1A	MYOCOS	2.0021872631934405
ATF5	RXRB	2.0001906614459837
